Timestamp (ms),Triggering Sensor,Latitude,Longitude,Altitude,Heading (degrees),Heading accuracy (degrees),Relative Altitude (m),Pressure (kPa),Speed (m/s),Speed Accuracy (m/s),Floor,Acceleration - X axis,Acceleration - Y axis,Acceleration - Z axis,Gyrometer - X axis,Gyrometer - Y axis,Gyrometer - Z axis,Magnetometer - X axis,Magnetometer - Y axis,Magnetometer - Z axis,User acceleration - X axis,User acceleration - Y axis,User acceleration - Z axis,Attitude Pitch,Attitude Roll,Attitude Yaw,Gravity - X axis,Gravity - Y axis,Gravity - Z axis,Rotation Rate - X axis,Rotation Rate - Y axis,Rotation Rate - Z axis,Activity Type,Number of Steps,Distance,Floors Ascended,Floors Descended,Current Pace,Current Cadence,Average Active Pace
12,Gyrometer,,,,,,,,,,,,,,0.03093075193464756,-0.04867592826485634,0.01230380404740572,,,,,,,,,,,,,,,,,,,,,,,
52,COMPASS,,,,191.64443969726562,16.460161209106445,,,,,,,,,0.03093075193464756,-0.04867592826485634,0.01230380404740572,,,,,,,,,,,,,,,,,,,,,,,
87,Accelerometer,,,,191.64443969726562,16.460161209106445,,,,,,0.023040771484375,-0.998565673828125,-0.1186981201171875,0.03093075193464756,-0.04867592826485634,0.01230380404740572,,,,,,,,,,,,,,,,,,,,,,,
120,Magnetometer,,,,191.64443969726562,16.460161209106445,,,,,,0.023040771484375,-0.998565673828125,-0.1186981201171875,0.03093075193464756,-0.04867592826485634,0.01230380404740572,-32.81672668457031,-114.5811767578125,-308.6334228515625,,,,,,,,,,,,,,,,,,,,
147,Activity Manager,,,,191.64443969726562,16.460161209106445,,,,,,0.023040771484375,-0.998565673828125,-0.1186981201171875,0.03093075193464756,-0.04867592826485634,0.01230380404740572,-32.81672668457031,-114.5811767578125,-308.6334228515625,,,,,,,,,,,,,Stationary,,,,,,,
176,Activity Manager,,,,191.64443969726562,16.460161209106445,,,,,,0.023040771484375,-0.998565673828125,-0.1186981201171875,0.03093075193464756,-0.04867592826485634,0.01230380404740572,-32.81672668457031,-114.5811767578125,-308.6334228515625,,,,,,,,,,,,,Walking,,,,,,,
204,Device Motion,,,,191.64443969726562,16.460161209106445,,,,,,0.023040771484375,-0.998565673828125,-0.1186981201171875,0.03093075193464756,-0.04867592826485634,0.01230380404740572,-32.81672668457031,-114.5811767578125,-308.6334228515625,-0.008736878633499146,0.001958489418029785,0.010687112808227539,1.4493572431999764,0.06284217589025642,-0.0556431611066213,0.007607725914567709,-0.9926353096961975,-0.1209014281630516,0.05256780982017517,0.03132703900337219,-0.006065738387405872,Walking,,,,,,,
306,Gyrometer,,,,191.64443969726562,16.460161209106445,,,,,,0.023040771484375,-0.998565673828125,-0.1186981201171875,-0.026285400614142418,0.04133865237236023,-0.004972654394805431,-32.81672668457031,-114.5811767578125,-308.6334228515625,-0.008736878633499146,0.001958489418029785,0.010687112808227539,1.4493572431999764,0.06284217589025642,-0.0556431611066213,0.007607725914567709,-0.9926353096961975,-0.1209014281630516,0.05256780982017517,0.03132703900337219,-0.006065738387405872,Walking,,,,,,,
340,Accelerometer,,,,191.64443969726562,16.460161209106445,,,,,,0.0067291259765625,-0.990997314453125,-0.10400390625,-0.026285400614142418,0.04133865237236023,-0.004972654394805431,-32.81672668457031,-114.5811767578125,-308.6334228515625,-0.008736878633499146,0.001958489418029785,0.010687112808227539,1.4493572431999764,0.06284217589025642,-0.0556431611066213,0.007607725914567709,-0.9926353096961975,-0.1209014281630516,0.05256780982017517,0.03132703900337219,-0.006065738387405872,Walking,,,,,,,
371,Magnetometer,,,,191.64443969726562,16.460161209106445,,,,,,0.0067291259765625,-0.990997314453125,-0.10400390625,-0.026285400614142418,0.04133865237236023,-0.004972654394805431,-32.86329650878906,-114.88555908203125,-308.85577392578125,-0.008736878633499146,0.001958489418029785,0.010687112808227539,1.4493572431999764,0.06284217589025642,-0.0556431611066213,0.007607725914567709,-0.9926353096961975,-0.1209014281630516,0.05256780982017517,0.03132703900337219,-0.006065738387405872,Walking,,,,,,,
