Timestamp (ms),Triggering Sensor,Latitude,Longitude,Altitude,Heading (degrees),Heading accuracy (degrees),Relative Altitude (m),Pressure (kPa),Speed (m/s),Speed Accuracy (m/s),Floor,Acceleration - X axis,Acceleration - Y axis,Acceleration - Z axis,Gyrometer - X axis,Gyrometer - Y axis,Gyrometer - Z axis,Magnetometer - X axis,Magnetometer - Y axis,Magnetometer - Z axis,User acceleration - X axis,User acceleration - Y axis,User acceleration - Z axis,Attitude Pitch,Attitude Roll,Attitude Yaw,Gravity - X axis,Gravity - Y axis,Gravity - Z axis,Rotation Rate - X axis,Rotation Rate - Y axis,Rotation Rate - Z axis,Activity Type,Number of Steps,Distance,Floors Ascended,Floors Descended,Current Pace,Current Cadence,Average Active Pace
12,Gyrometer,,,,,,,,,,,,,,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,,,,,,,,,,,,,,,,,,,,,,,
42,GPS,40.44374026233233,-79.94430420513714,289.81935119628906,,,,,-1.0,-1.0,N/A,,,,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,,,,,,,,,,,,,,,,,,,,,,,
69,GPS,40.44374026233233,-79.94430420513714,289.81935119628906,,,,,-1.0,-1.0,N/A,,,,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,,,,,,,,,,,,,,,,,,,,,,,
93,COMPASS,40.44374026233233,-79.94430420513714,289.81935119628906,66.85334777832031,15.861729621887207,,,-1.0,-1.0,N/A,,,,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,,,,,,,,,,,,,,,,,,,,,,,
118,Accelerometer,40.44374026233233,-79.94430420513714,289.81935119628906,66.85334777832031,15.861729621887207,,,-1.0,-1.0,N/A,0.002410888671875,-0.9676055908203125,-0.2231903076171875,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,,,,,,,,,,,,,,,,,,,,,,,
130,Magnetometer,40.44374026233233,-79.94430420513714,289.81935119628906,66.85334777832031,15.861729621887207,,,-1.0,-1.0,N/A,0.002410888671875,-0.9676055908203125,-0.2231903076171875,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,-54.2142333984375,-107.97987365722656,-318.36163330078125,,,,,,,,,,,,,,,,,,,,
143,Activity Manager,40.44374026233233,-79.94430420513714,289.81935119628906,66.85334777832031,15.861729621887207,,,-1.0,-1.0,N/A,0.002410888671875,-0.9676055908203125,-0.2231903076171875,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,-54.2142333984375,-107.97987365722656,-318.36163330078125,,,,,,,,,,,,,,,,,,,,
169,GPS,40.44383382669766,-79.94439986764608,289.7699089050293,66.85334777832031,15.861729621887207,,,-1.0,-1.0,N/A,0.002410888671875,-0.9676055908203125,-0.2231903076171875,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,-54.2142333984375,-107.97987365722656,-318.36163330078125,,,,,,,,,,,,,,,,,,,,
195,GPS,40.44386670643763,-79.9444337291194,289.7686576843262,66.85334777832031,15.861729621887207,,,-1.0,-1.0,N/A,0.002410888671875,-0.9676055908203125,-0.2231903076171875,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,-54.2142333984375,-107.97987365722656,-318.36163330078125,,,,,,,,,,,,,,,,,,,,
223,Device Motion,40.44386670643763,-79.9444337291194,289.7686576843262,66.85334777832031,15.861729621887207,,,-1.0,-1.0,N/A,0.002410888671875,-0.9676055908203125,-0.2231903076171875,-0.1641300767660141,-0.09106093645095825,-0.10871928930282593,-54.2142333984375,-107.97987365722656,-318.36163330078125,0.010911130346357822,-0.008150041103363037,0.004771798849105835,1.3167118339638895,0.04596546339892252,-0.03555557748601848,0.011549805290997028,-0.9678938388824463,-0.25109440088272095,-0.004871703218668699,-0.04373256862163544,-0.013980668969452381,,,,,,,,
