Timestamp (ms),Triggering Sensor,Latitude,Longitude,Altitude,Heading (degrees),Heading accuracy (degrees),Relative Altitude (m),Pressure (kPa),Speed (m/s),Speed Accuracy (m/s),Floor,Acceleration - X axis,Acceleration - Y axis,Acceleration - Z axis,Gyrometer - X axis,Gyrometer - Y axis,Gyrometer - Z axis,Magnetometer - X axis,Magnetometer - Y axis,Magnetometer - Z axis,User acceleration - X axis,User acceleration - Y axis,User acceleration - Z axis,Attitude Pitch,Attitude Roll,Attitude Yaw,Gravity - X axis,Gravity - Y axis,Gravity - Z axis,Rotation Rate - X axis,Rotation Rate - Y axis,Rotation Rate - Z axis,Activity Type,Number of Steps,Distance,Floors Ascended,Floors Descended,Current Pace,Current Cadence,Average Active Pace
10,Gyrometer,,,,,,,,,,,,,,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,,,,,,,,,,,,,,,,,,,,,,,
30,GPS,40.44389248655935,-79.94441813410165,286.0846366882324,,,,,-1.0,-1.0,N/A,,,,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,,,,,,,,,,,,,,,,,,,,,,,
52,GPS,40.44389248655935,-79.94441813410165,286.0846366882324,,,,,-1.0,-1.0,N/A,,,,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,,,,,,,,,,,,,,,,,,,,,,,
74,COMPASS,40.44389248655935,-79.94441813410165,286.0846366882324,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,,,,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,,,,,,,,,,,,,,,,,,,,,,,
96,Activity Manager,40.44389248655935,-79.94441813410165,286.0846366882324,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,,,,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,,,,,,,,,,,,,,,,,,,,,,,
117,Magnetometer,40.44389248655935,-79.94441813410165,286.0846366882324,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,,,,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,-23.73126220703125,-98.74586486816406,-324.12908935546875,,,,,,,,,,,,,,,,,,,,
140,Accelerometer,40.44389248655935,-79.94441813410165,286.0846366882324,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,0.0019073486328125,-0.9521026611328125,-0.2957916259765625,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,-23.73126220703125,-98.74586486816406,-324.12908935546875,,,,,,,,,,,,,,,,,,,,
161,GPS,40.44389225393241,-79.94444341366169,286.0333061218262,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,0.0019073486328125,-0.9521026611328125,-0.2957916259765625,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,-23.73126220703125,-98.74586486816406,-324.12908935546875,,,,,,,,,,,,,,,,,,,,
182,GPS,40.44390085675765,-79.9444593378597,286.0322074890137,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,0.0019073486328125,-0.9521026611328125,-0.2957916259765625,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,-23.73126220703125,-98.74586486816406,-324.12908935546875,,,,,,,,,,,,,,,,,,,,
205,Device Motion,40.44390085675765,-79.9444593378597,286.0322074890137,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,0.0019073486328125,-0.9521026611328125,-0.2957916259765625,-0.11414548009634018,-0.08700893074274063,-0.017896708101034164,-23.73126220703125,-98.74586486816406,-324.12908935546875,-0.025514211505651474,-0.005812525749206543,0.018002361059188843,1.2453593061933474,0.07481175854118442,-0.05372410147950584,0.023896774277091026,-0.9475110769271851,-0.3188292384147644,-0.019535746425390244,0.04365614429116249,0.009001795202493668,,,,,,,,
306,Gyrometer,40.44390085675765,-79.9444593378597,286.0322074890137,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,0.0019073486328125,-0.9521026611328125,-0.2957916259765625,-0.030962975695729256,0.1039932444691658,0.015186942182481289,-23.73126220703125,-98.74586486816406,-324.12908935546875,-0.025514211505651474,-0.005812525749206543,0.018002361059188843,1.2453593061933474,0.07481175854118442,-0.05372410147950584,0.023896774277091026,-0.9475110769271851,-0.3188292384147644,-0.019535746425390244,0.04365614429116249,0.009001795202493668,,,,,,,,
330,Magnetometer,40.44390085675765,-79.9444593378597,286.0322074890137,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,0.0019073486328125,-0.9521026611328125,-0.2957916259765625,-0.030962975695729256,0.1039932444691658,0.015186942182481289,-23.309738159179688,-99.05947875976562,-324.3803405761719,-0.025514211505651474,-0.005812525749206543,0.018002361059188843,1.2453593061933474,0.07481175854118442,-0.05372410147950584,0.023896774277091026,-0.9475110769271851,-0.3188292384147644,-0.019535746425390244,0.04365614429116249,0.009001795202493668,,,,,,,,
354,Accelerometer,40.44390085675765,-79.9444593378597,286.0322074890137,82.19332122802734,15.453499794006348,,,-1.0,-1.0,N/A,0.0133209228515625,-0.9439239501953125,-0.2661285400390625,-0.030962975695729256,0.1039932444691658,0.015186942182481289,-23.309738159179688,-99.05947875976562,-324.3803405761719,-0.025514211505651474,-0.005812525749206543,0.018002361059188843,1.2453593061933474,0.07481175854118442,-0.05372410147950584,0.023896774277091026,-0.9475110769271851,-0.3188292384147644,-0.019535746425390244,0.04365614429116249,0.009001795202493668,,,,,,,,
394,COMPASS,40.44390085675765,-79.9444593378597,286.0322074890137,81.06696319580078,15.453640937805176,,,-1.0,-1.0,N/A,0.0133209228515625,-0.9439239501953125,-0.2661285400390625,-0.030962975695729256,0.1039932444691658,0.015186942182481289,-23.309738159179688,-99.05947875976562,-324.3803405761719,-0.025514211505651474,-0.005812525749206543,0.018002361059188843,1.2453593061933474,0.07481175854118442,-0.05372410147950584,0.023896774277091026,-0.9475110769271851,-0.3188292384147644,-0.019535746425390244,0.04365614429116249,0.009001795202493668,,,,,,,,
433,Device Motion,40.44390085675765,-79.9444593378597,286.0322074890137,81.06696319580078,15.453640937805176,,,-1.0,-1.0,N/A,0.0133209228515625,-0.9439239501953125,-0.2661285400390625,-0.030962975695729256,0.1039932444691658,0.015186942182481289,-23.309738159179688,-99.05947875976562,-324.3803405761719,0.004285603761672974,-0.004142165184020996,0.04075533151626587,1.2413014332163113,0.054312370139739885,-0.010575857477144436,0.01756497658789158,-0.9462059140205383,-0.32308846712112427,-0.03918156400322914,0.12420636415481567,0.1122976616024971,,,,,,,,
494,COMPASS,40.44390085675765,-79.9444593378597,286.0322074890137,79.81966400146484,15.454046249389648,,,-1.0,-1.0,N/A,0.0133209228515625,-0.9439239501953125,-0.2661285400390625,-0.030962975695729256,0.1039932444691658,0.015186942182481289,-23.309738159179688,-99.05947875976562,-324.3803405761719,0.004285603761672974,-0.004142165184020996,0.04075533151626587,1.2413014332163113,0.054312370139739885,-0.010575857477144436,0.01756497658789158,-0.9462059140205383,-0.32308846712112427,-0.03918156400322914,0.12420636415481567,0.1122976616024971,,,,,,,,
594,COMPASS,40.44390085675765,-79.9444593378597,286.0322074890137,78.7672119140625,15.454299926757812,,,-1.0,-1.0,N/A,0.0133209228515625,-0.9439239501953125,-0.2661285400390625,-0.030962975695729256,0.1039932444691658,0.015186942182481289,-23.309738159179688,-99.05947875976562,-324.3803405761719,0.004285603761672974,-0.004142165184020996,0.04075533151626587,1.2413014332163113,0.054312370139739885,-0.010575857477144436,0.01756497658789158,-0.9462059140205383,-0.32308846712112427,-0.03918156400322914,0.12420636415481567,0.1122976616024971,,,,,,,,
620,Gyrometer,40.44390085675765,-79.9444593378597,286.0322074890137,78.7672119140625,15.454299926757812,,,-1.0,-1.0,N/A,0.0133209228515625,-0.9439239501953125,-0.2661285400390625,0.044082771986722946,0.09712841361761093,0.0991034135222435,-23.309738159179688,-99.05947875976562,-324.3803405761719,0.004285603761672974,-0.004142165184020996,0.04075533151626587,1.2413014332163113,0.054312370139739885,-0.010575857477144436,0.01756497658789158,-0.9462059140205383,-0.32308846712112427,-0.03918156400322914,0.12420636415481567,0.1122976616024971,,,,,,,,
646,Magnetometer,40.44390085675765,-79.9444593378597,286.0322074890137,78.7672119140625,15.454299926757812,,,-1.0,-1.0,N/A,0.0133209228515625,-0.9439239501953125,-0.2661285400390625,0.044082771986722946,0.09712841361761093,0.0991034135222435,-22.37017822265625,-98.73434448242188,-323.9615173339844,0.004285603761672974,-0.004142165184020996,0.04075533151626587,1.2413014332163113,0.054312370139739885,-0.010575857477144436,0.01756497658789158,-0.9462059140205383,-0.32308846712112427,-0.03918156400322914,0.12420636415481567,0.1122976616024971,,,,,,,,
675,Accelerometer,40.44390085675765,-79.9444593378597,286.0322074890137,78.7672119140625,15.454299926757812,,,-1.0,-1.0,N/A,0.029052734375,-0.95745849609375,-0.248779296875,0.044082771986722946,0.09712841361761093,0.0991034135222435,-22.37017822265625,-98.73434448242188,-323.9615173339844,0.004285603761672974,-0.004142165184020996,0.04075533151626587,1.2413014332163113,0.054312370139739885,-0.010575857477144436,0.01756497658789158,-0.9462059140205383,-0.32308846712112427,-0.03918156400322914,0.12420636415481567,0.1122976616024971,,,,,,,,
732,Device Motion,40.44390085675765,-79.9444593378597,286.0322074890137,78.7672119140625,15.454299926757812,,,-1.0,-1.0,N/A,0.029052734375,-0.95745849609375,-0.248779296875,0.044082771986722946,0.09712841361761093,0.0991034135222435,-22.37017822265625,-98.73434448242188,-323.9615173339844,0.027619391679763794,-0.018731355667114258,0.09166046977043152,1.2198945829507748,0.01531222163920625,0.06731024316551619,0.005263297352939844,-0.9390631318092346,-0.3437049388885498,-0.1909603625535965,0.05811116844415665,-0.011864820495247841,,,,,,,,
793,COMPASS,40.44390085675765,-79.9444593378597,286.0322074890137,77.74363708496094,15.454543113708496,,,-1.0,-1.0,N/A,0.029052734375,-0.95745849609375,-0.248779296875,0.044082771986722946,0.09712841361761093,0.0991034135222435,-22.37017822265625,-98.73434448242188,-323.9615173339844,0.027619391679763794,-0.018731355667114258,0.09166046977043152,1.2198945829507748,0.01531222163920625,0.06731024316551619,0.005263297352939844,-0.9390631318092346,-0.3437049388885498,-0.1909603625535965,0.05811116844415665,-0.011864820495247841,,,,,,,,
907,Gyrometer,40.44390085675765,-79.9444593378597,286.0322074890137,77.74363708496094,15.454543113708496,,,-1.0,-1.0,N/A,0.029052734375,-0.95745849609375,-0.248779296875,-0.002438922878354788,-0.13690192997455597,-0.009891779161989689,-22.37017822265625,-98.73434448242188,-323.9615173339844,0.027619391679763794,-0.018731355667114258,0.09166046977043152,1.2198945829507748,0.01531222163920625,0.06731024316551619,0.005263297352939844,-0.9390631318092346,-0.3437049388885498,-0.1909603625535965,0.05811116844415665,-0.011864820495247841,,,,,,,,
933,Magnetometer,40.44390085675765,-79.9444593378597,286.0322074890137,77.74363708496094,15.454543113708496,,,-1.0,-1.0,N/A,0.029052734375,-0.95745849609375,-0.248779296875,-0.002438922878354788,-0.13690192997455597,-0.009891779161989689,-21.86260986328125,-98.82015991210938,-324.53277587890625,0.027619391679763794,-0.018731355667114258,0.09166046977043152,1.2198945829507748,0.01531222163920625,0.06731024316551619,0.005263297352939844,-0.9390631318092346,-0.3437049388885498,-0.1909603625535965,0.05811116844415665,-0.011864820495247841,,,,,,,,
960,Accelerometer,40.44390085675765,-79.9444593378597,286.0322074890137,77.74363708496094,15.454543113708496,,,-1.0,-1.0,N/A,0.0263519287109375,-0.983795166015625,-0.27227783203125,-0.002438922878354788,-0.13690192997455597,-0.009891779161989689,-21.86260986328125,-98.82015991210938,-324.53277587890625,0.027619391679763794,-0.018731355667114258,0.09166046977043152,1.2198945829507748,0.01531222163920625,0.06731024316551619,0.005263297352939844,-0.9390631318092346,-0.3437049388885498,-0.1909603625535965,0.05811116844415665,-0.011864820495247841,,,,,,,,
993,COMPASS,40.44390085675765,-79.9444593378597,286.0322074890137,78.87299346923828,15.454705238342285,,,-1.0,-1.0,N/A,0.0263519287109375,-0.983795166015625,-0.27227783203125,-0.002438922878354788,-0.13690192997455597,-0.009891779161989689,-21.86260986328125,-98.82015991210938,-324.53277587890625,0.027619391679763794,-0.018731355667114258,0.09166046977043152,1.2198945829507748,0.01531222163920625,0.06731024316551619,0.005263297352939844,-0.9390631318092346,-0.3437049388885498,-0.1909603625535965,0.05811116844415665,-0.011864820495247841,,,,,,,,
1031,Device Motion,40.44390085675765,-79.9444593378597,286.0322074890137,78.87299346923828,15.454705238342285,,,-1.0,-1.0,N/A,0.0263519287109375,-0.983795166015625,-0.27227783203125,-0.002438922878354788,-0.13690192997455597,-0.009891779161989689,-21.86260986328125,-98.82015991210938,-324.53277587890625,0.024502694606781006,-0.08253270387649536,0.08901721239089966,1.2159959785207453,0.007387438321732921,0.04845045087132499,0.002566399285569787,-0.9377158880233765,-0.34739410877227783,-0.01068717148154974,-0.14745181798934937,-0.060319941490888596,,,,,,,,
1044,Altimeter,40.44390085675765,-79.9444593378597,286.0322074890137,78.87299346923828,15.454705238342285,0,98.12702941894531,-1.0,-1.0,N/A,0.0263519287109375,-0.983795166015625,-0.27227783203125,-0.002438922878354788,-0.13690192997455597,-0.009891779161989689,-21.86260986328125,-98.82015991210938,-324.53277587890625,0.024502694606781006,-0.08253270387649536,0.08901721239089966,1.2159959785207453,0.007387438321732921,0.04845045087132499,0.002566399285569787,-0.9377158880233765,-0.34739410877227783,-0.01068717148154974,-0.14745181798934937,-0.060319941490888596,,,,,,,,
1132,COMPASS,40.44390085675765,-79.9444593378597,286.0322074890137,80.0108871459961,15.455873489379883,0,98.12702941894531,-1.0,-1.0,N/A,0.0263519287109375,-0.983795166015625,-0.27227783203125,-0.002438922878354788,-0.13690192997455597,-0.009891779161989689,-21.86260986328125,-98.82015991210938,-324.53277587890625,0.024502694606781006,-0.08253270387649536,0.08901721239089966,1.2159959785207453,0.007387438321732921,0.04845045087132499,0.002566399285569787,-0.9377158880233765,-0.34739410877227783,-0.01068717148154974,-0.14745181798934937,-0.060319941490888596,,,,,,,,
1207,Gyrometer,40.44390085675765,-79.9444593378597,286.0322074890137,80.0108871459961,15.455873489379883,0,98.12702941894531,-1.0,-1.0,N/A,0.0263519287109375,-0.983795166015625,-0.27227783203125,0.32574188709259033,-0.19695301353931427,-0.025553030893206596,-21.86260986328125,-98.82015991210938,-324.53277587890625,0.024502694606781006,-0.08253270387649536,0.08901721239089966,1.2159959785207453,0.007387438321732921,0.04845045087132499,0.002566399285569787,-0.9377158880233765,-0.34739410877227783,-0.01068717148154974,-0.14745181798934937,-0.060319941490888596,,,,,,,,
1235,COMPASS,40.44390085675765,-79.9444593378597,286.0322074890137,81.02799987792969,15.456720352172852,0,98.12702941894531,-1.0,-1.0,N/A,0.0263519287109375,-0.983795166015625,-0.27227783203125,0.32574188709259033,-0.19695301353931427,-0.025553030893206596,-21.86260986328125,-98.82015991210938,-324.53277587890625,0.024502694606781006,-0.08253270387649536,0.08901721239089966,1.2159959785207453,0.007387438321732921,0.04845045087132499,0.002566399285569787,-0.9377158880233765,-0.34739410877227783,-0.01068717148154974,-0.14745181798934937,-0.060319941490888596,,,,,,,,
1261,Magnetometer,40.44390085675765,-79.9444593378597,286.0322074890137,81.02799987792969,15.456720352172852,0,98.12702941894531,-1.0,-1.0,N/A,0.0263519287109375,-0.983795166015625,-0.27227783203125,0.32574188709259033,-0.19695301353931427,-0.025553030893206596,-23.82452392578125,-99.89683532714844,-322.916015625,0.024502694606781006,-0.08253270387649536,0.08901721239089966,1.2159959785207453,0.007387438321732921,0.04845045087132499,0.002566399285569787,-0.9377158880233765,-0.34739410877227783,-0.01068717148154974,-0.14745181798934937,-0.060319941490888596,,,,,,,,
1289,Accelerometer,40.44390085675765,-79.9444593378597,286.0322074890137,81.02799987792969,15.456720352172852,0,98.12702941894531,-1.0,-1.0,N/A,-0.0190887451171875,-0.993896484375,-0.285369873046875,0.32574188709259033,-0.19695301353931427,-0.025553030893206596,-23.82452392578125,-99.89683532714844,-322.916015625,0.024502694606781006,-0.08253270387649536,0.08901721239089966,1.2159959785207453,0.007387438321732921,0.04845045087132499,0.002566399285569787,-0.9377158880233765,-0.34739410877227783,-0.01068717148154974,-0.14745181798934937,-0.060319941490888596,,,,,,,,
1315,COMPASS,40.44390085675765,-79.9444593378597,286.0322074890137,82.0677490234375,15.45740795135498,0,98.12702941894531,-1.0,-1.0,N/A,-0.0190887451171875,-0.993896484375,-0.285369873046875,0.32574188709259033,-0.19695301353931427,-0.025553030893206596,-23.82452392578125,-99.89683532714844,-322.916015625,0.024502694606781006,-0.08253270387649536,0.08901721239089966,1.2159959785207453,0.007387438321732921,0.04845045087132499,0.002566399285569787,-0.9377158880233765,-0.34739410877227783,-0.01068717148154974,-0.14745181798934937,-0.060319941490888596,,,,,,,,
1342,Device Motion,40.44390085675765,-79.9444593378597,286.0322074890137,82.0677490234375,15.45740795135498,0,98.12702941894531,-1.0,-1.0,N/A,-0.0190887451171875,-0.993896484375,-0.285369873046875,0.32574188709259033,-0.19695301353931427,-0.025553030893206596,-23.82452392578125,-99.89683532714844,-322.916015625,-0.011063695885241032,0.059420228004455566,-0.04319712519645691,1.2510913759748223,0.03695879962703896,-0.025416829738338947,0.011613008566200733,-0.9493281841278076,-0.3140718936920166,0.21428297460079193,-0.052039533853530884,-0.09419813752174377,,,,,,,,
1507,Gyrometer,40.44390085675765,-79.9444593378597,286.0322074890137,82.0677490234375,15.45740795135498,0,98.12702941894531,-1.0,-1.0,N/A,-0.0190887451171875,-0.993896484375,-0.285369873046875,-0.05012175813317299,-0.04171575605869293,-0.01884053274989128,-23.82452392578125,-99.89683532714844,-322.916015625,-0.011063695885241032,0.059420228004455566,-0.04319712519645691,1.2510913759748223,0.03695879962703896,-0.025416829738338947,0.011613008566200733,-0.9493281841278076,-0.3140718936920166,0.21428297460079193,-0.052039533853530884,-0.09419813752174377,,,,,,,,
1534,Magnetometer,40.44390085675765,-79.9444593378597,286.0322074890137,82.0677490234375,15.45740795135498,0,98.12702941894531,-1.0,-1.0,N/A,-0.0190887451171875,-0.993896484375,-0.285369873046875,-0.05012175813317299,-0.04171575605869293,-0.01884053274989128,-26.082656860351562,-100.28355407714844,-321.93194580078125,-0.011063695885241032,0.059420228004455566,-0.04319712519645691,1.2510913759748223,0.03695879962703896,-0.025416829738338947,0.011613008566200733,-0.9493281841278076,-0.3140718936920166,0.21428297460079193,-0.052039533853530884,-0.09419813752174377,,,,,,,,
