Timestamp (ms),Triggering Sensor,Latitude,Longitude,Altitude,Heading (degrees),Heading accuracy (degrees),Relative Altitude (m),Pressure (kPa),Speed (m/s),Speed Accuracy (m/s),Floor,Acceleration - X axis,Acceleration - Y axis,Acceleration - Z axis,Gyrometer - X axis,Gyrometer - Y axis,Gyrometer - Z axis,Magnetometer - X axis,Magnetometer - Y axis,Magnetometer - Z axis,User acceleration - X axis,User acceleration - Y axis,User acceleration - Z axis,Attitude Pitch,Attitude Roll,Attitude Yaw,Gravity - X axis,Gravity - Y axis,Gravity - Z axis,Rotation Rate - X axis,Rotation Rate - Y axis,Rotation Rate - Z axis,Activity Type,Number of Steps,Distance,Floors Ascended,Floors Descended,Current Pace,Current Cadence,Average Active Pace
8,Activity Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walking,,,,,,,
40,GPS,40.44359494400198,-79.94449667405543,289.5242500305176,,,,,-1.0,-1.0,N/A,,,,,,,,,,,,,,,,,,,,,,Walking,,,,,,,
69,COMPASS,40.44359494400198,-79.94449667405543,289.5242500305176,315.4285888671875,15.861565589904785,,,-1.0,-1.0,N/A,,,,,,,,,,,,,,,,,,,,,,Walking,,,,,,,
98,GPS,40.44359494400198,-79.94449667405543,289.5242500305176,315.4285888671875,15.861565589904785,,,-1.0,-1.0,N/A,,,,,,,,,,,,,,,,,,,,,,Walking,,,,,,,
127,Gyrometer,40.44359494400198,-79.94449667405543,289.5242500305176,315.4285888671875,15.861565589904785,,,-1.0,-1.0,N/A,,,,-0.051004063338041306,-0.08681878447532654,0.030491329729557037,,,,,,,,,,,,,,,,Walking,,,,,,,
153,Magnetometer,40.44359494400198,-79.94449667405543,289.5242500305176,315.4285888671875,15.861565589904785,,,-1.0,-1.0,N/A,,,,-0.051004063338041306,-0.08681878447532654,0.030491329729557037,-16.724212646484375,-90.73690795898438,-334.83770751953125,,,,,,,,,,,,,Walking,,,,,,,
181,Accelerometer,40.44359494400198,-79.94449667405543,289.5242500305176,315.4285888671875,15.861565589904785,,,-1.0,-1.0,N/A,0.0485076904296875,-0.978118896484375,-0.244049072265625,-0.051004063338041306,-0.08681878447532654,0.030491329729557037,-16.724212646484375,-90.73690795898438,-334.83770751953125,,,,,,,,,,,,,Walking,,,,,,,
208,Device Motion,40.44359494400198,-79.94449667405543,289.5242500305176,315.4285888671875,15.861565589904785,,,-1.0,-1.0,N/A,0.0485076904296875,-0.978118896484375,-0.244049072265625,-0.051004063338041306,-0.08681878447532654,0.030491329729557037,-16.724212646484375,-90.73690795898438,-334.83770751953125,-0.0011148452758789062,0.0029836297035217285,0.03327465057373047,1.3105120135484516,0.16035968476939677,-0.12334947861291469,0.04109285771846771,-0.966316819190979,-0.2540539801120758,0.06026941165328026,-0.04801040515303612,-0.008473782800137997,Walking,,,,,,,
305,Gyrometer,40.44359494400198,-79.94449667405543,289.5242500305176,315.4285888671875,15.861565589904785,,,-1.0,-1.0,N/A,0.0485076904296875,-0.978118896484375,-0.244049072265625,-0.003681021276861429,-0.018065020442008972,0.017711352556943893,-16.724212646484375,-90.73690795898438,-334.83770751953125,-0.0011148452758789062,0.0029836297035217285,0.03327465057373047,1.3105120135484516,0.16035968476939677,-0.12334947861291469,0.04109285771846771,-0.966316819190979,-0.2540539801120758,0.06026941165328026,-0.04801040515303612,-0.008473782800137997,Walking,,,,,,,
333,Magnetometer,40.44359494400198,-79.94449667405543,289.5242500305176,315.4285888671875,15.861565589904785,,,-1.0,-1.0,N/A,0.0485076904296875,-0.978118896484375,-0.244049072265625,-0.003681021276861429,-0.018065020442008972,0.017711352556943893,-16.22784423828125,-90.97232055664062,-334.42657470703125,-0.0011148452758789062,0.0029836297035217285,0.03327465057373047,1.3105120135484516,0.16035968476939677,-0.12334947861291469,0.04109285771846771,-0.966316819190979,-0.2540539801120758,0.06026941165328026,-0.04801040515303612,-0.008473782800137997,Walking,,,,,,,
