Timestamp (ms),Triggering Sensor,Latitude,Longitude,Altitude,Heading (degrees),Heading accuracy (degrees),Relative Altitude (m),Pressure (kPa),Speed (m/s),Speed Accuracy (m/s),Floor,Acceleration - X axis,Acceleration - Y axis,Acceleration - Z axis,Gyrometer - X axis,Gyrometer - Y axis,Gyrometer - Z axis,Magnetometer - X axis,Magnetometer - Y axis,Magnetometer - Z axis,User acceleration - X axis,User acceleration - Y axis,User acceleration - Z axis,Attitude Pitch,Attitude Roll,Attitude Yaw,Gravity - X axis,Gravity - Y axis,Gravity - Z axis,Rotation Rate - X axis,Rotation Rate - Y axis,Rotation Rate - Z axis,Activity Type,Number of Steps,Distance,Floors Ascended,Floors Descended,Current Pace,Current Cadence,Average Active Pace
8,Activity Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,COMPASS,,,,193.77041625976562,16.852222442626953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Gyrometer,,,,193.77041625976562,16.852222442626953,,,,,,,,,-0.012522716075181961,-0.0049556102603673935,0.004159324802458286,,,,,,,,,,,,,,,,,,,,,,,
100,Accelerometer,,,,193.77041625976562,16.852222442626953,,,,,,-0.000213623046875,-0.9836883544921875,-0.181182861328125,-0.012522716075181961,-0.0049556102603673935,0.004159324802458286,,,,,,,,,,,,,,,,,,,,,,,
131,Magnetometer,,,,193.77041625976562,16.852222442626953,,,,,,-0.000213623046875,-0.9836883544921875,-0.181182861328125,-0.012522716075181961,-0.0049556102603673935,0.004159324802458286,-29.924468994140625,-116.54237365722656,-319.9957275390625,,,,,,,,,,,,,,,,,,,,
160,Device Motion,,,,193.77041625976562,16.852222442626953,,,,,,-0.000213623046875,-0.9836883544921875,-0.181182861328125,-0.012522716075181961,-0.0049556102603673935,0.004159324802458286,-29.924468994140625,-116.54237365722656,-319.9957275390625,0.00677800178527832,-0.0018526911735534668,0.009595394134521484,1.371946964369594,-0.062468888489781944,0.051141826314246304,-0.012332189828157425,-0.9802945256233215,-0.19715644419193268,0.0046981461346149445,0.0016296971589326859,-0.006335901562124491,,,,,,,,
303,Gyrometer,,,,193.77041625976562,16.852222442626953,,,,,,-0.000213623046875,-0.9836883544921875,-0.181182861328125,-0.053643252700567245,-0.03780730068683624,0.023540746420621872,-29.924468994140625,-116.54237365722656,-319.9957275390625,0.00677800178527832,-0.0018526911735534668,0.009595394134521484,1.371946964369594,-0.062468888489781944,0.051141826314246304,-0.012332189828157425,-0.9802945256233215,-0.19715644419193268,0.0046981461346149445,0.0016296971589326859,-0.006335901562124491,,,,,,,,
340,Accelerometer,,,,193.77041625976562,16.852222442626953,,,,,,-0.0193634033203125,-0.976715087890625,-0.18402099609375,-0.053643252700567245,-0.03780730068683624,0.023540746420621872,-29.924468994140625,-116.54237365722656,-319.9957275390625,0.00677800178527832,-0.0018526911735534668,0.009595394134521484,1.371946964369594,-0.062468888489781944,0.051141826314246304,-0.012332189828157425,-0.9802945256233215,-0.19715644419193268,0.0046981461346149445,0.0016296971589326859,-0.006335901562124491,,,,,,,,
371,Magnetometer,,,,193.77041625976562,16.852222442626953,,,,,,-0.0193634033203125,-0.976715087890625,-0.18402099609375,-0.053643252700567245,-0.03780730068683624,0.023540746420621872,-30.00506591796875,-116.74092102050781,-320.44873046875,0.00677800178527832,-0.0018526911735534668,0.009595394134521484,1.371946964369594,-0.062468888489781944,0.051141826314246304,-0.012332189828157425,-0.9802945256233215,-0.19715644419193268,0.0046981461346149445,0.0016296971589326859,-0.006335901562124491,,,,,,,,
410,Device Motion,,,,193.77041625976562,16.852222442626953,,,,,,-0.0193634033203125,-0.976715087890625,-0.18402099609375,-0.053643252700567245,-0.03780730068683624,0.023540746420621872,-30.00506591796875,-116.74092102050781,-320.44873046875,0.008692651987075806,-0.0025777816772460938,0.0075560808181762695,1.3662706383502505,-0.07186066811399809,0.051269090979426016,-0.014582550153136253,-0.9791574478149414,-0.20257869362831116,-0.02802314981818199,-0.06024421751499176,0.01642186939716339,,,,,,,,
