Timestamp (ms),Triggering Sensor,Latitude,Longitude,Altitude,Heading (degrees),Heading accuracy (degrees),Relative Altitude (m),Pressure (kPa),Speed (m/s),Speed Accuracy (m/s),Floor,Acceleration - X axis,Acceleration - Y axis,Acceleration - Z axis,Gyrometer - X axis,Gyrometer - Y axis,Gyrometer - Z axis,Magnetometer - X axis,Magnetometer - Y axis,Magnetometer - Z axis,User acceleration - X axis,User acceleration - Y axis,User acceleration - Z axis,Attitude Pitch,Attitude Roll,Attitude Yaw,Gravity - X axis,Gravity - Y axis,Gravity - Z axis,Rotation Rate - X axis,Rotation Rate - Y axis,Rotation Rate - Z axis,Activity Type,Number of Steps,Distance,Floors Ascended,Floors Descended,Current Pace,Current Cadence,Average Active Pace
19,Activity Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,COMPASS,,,,105.01570129394531,16.7142391204834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Gyrometer,,,,105.01570129394531,16.7142391204834,,,,,,,,,0.0004724447790067643,0.0821412056684494,-0.011864382773637772,,,,,,,,,,,,,,,,,,,,,,,
105,Accelerometer,,,,105.01570129394531,16.7142391204834,,,,,,0.0246429443359375,-0.9946441650390625,-0.194000244140625,0.0004724447790067643,0.0821412056684494,-0.011864382773637772,,,,,,,,,,,,,,,,,,,,,,,
126,Magnetometer,,,,105.01570129394531,16.7142391204834,,,,,,0.0246429443359375,-0.9946441650390625,-0.194000244140625,0.0004724447790067643,0.0821412056684494,-0.011864382773637772,-67.06614685058594,-108.18194580078125,-314.9647216796875,,,,,,,,,,,,,,,,,,,,
325,Gyrometer,,,,105.01570129394531,16.7142391204834,,,,,,0.0246429443359375,-0.9946441650390625,-0.194000244140625,-0.0366019532084465,0.03344184532761574,-0.017527062445878983,-67.06614685058594,-108.18194580078125,-314.9647216796875,,,,,,,,,,,,,,,,,,,,
350,Device Motion,,,,105.01570129394531,16.7142391204834,,,,,,0.0246429443359375,-0.9946441650390625,-0.194000244140625,-0.0366019532084465,0.03344184532761574,-0.017527062445878983,-67.06614685058594,-108.18194580078125,-314.9647216796875,-0.002624824643135071,0.0002957582473754883,0.029285550117492676,1.359857837968322,0.07593913508121818,-0.06141030610491832,0.01588471047580242,-0.9778348207473755,-0.2087746262550354,-0.043027546256780624,0.021261224523186684,-0.008067985996603966,,,,,,,,
374,Accelerometer,,,,105.01570129394531,16.7142391204834,,,,,,0.012664794921875,-0.96405029296875,-0.1786956787109375,-0.0366019532084465,0.03344184532761574,-0.017527062445878983,-67.06614685058594,-108.18194580078125,-314.9647216796875,-0.002624824643135071,0.0002957582473754883,0.029285550117492676,1.359857837968322,0.07593913508121818,-0.06141030610491832,0.01588471047580242,-0.9778348207473755,-0.2087746262550354,-0.043027546256780624,0.021261224523186684,-0.008067985996603966,,,,,,,,
400,Magnetometer,,,,105.01570129394531,16.7142391204834,,,,,,0.012664794921875,-0.96405029296875,-0.1786956787109375,-0.0366019532084465,0.03344184532761574,-0.017527062445878983,-66.61985778808594,-108.29341125488281,-315.41180419921875,-0.002624824643135071,0.0002957582473754883,0.029285550117492676,1.359857837968322,0.07593913508121818,-0.06141030610491832,0.01588471047580242,-0.9778348207473755,-0.2087746262550354,-0.043027546256780624,0.021261224523186684,-0.008067985996603966,,,,,,,,
625,Gyrometer,,,,105.01570129394531,16.7142391204834,,,,,,0.012664794921875,-0.96405029296875,-0.1786956787109375,-0.02610989660024643,0.0010524812387302518,0.08523127436637878,-66.61985778808594,-108.29341125488281,-315.41180419921875,-0.002624824643135071,0.0002957582473754883,0.029285550117492676,1.359857837968322,0.07593913508121818,-0.06141030610491832,0.01588471047580242,-0.9778348207473755,-0.2087746262550354,-0.043027546256780624,0.021261224523186684,-0.008067985996603966,,,,,,,,
651,Device Motion,,,,105.01570129394531,16.7142391204834,,,,,,0.012664794921875,-0.96405029296875,-0.1786956787109375,-0.02610989660024643,0.0010524812387302518,0.08523127436637878,-66.61985778808594,-108.29341125488281,-315.41180419921875,-0.0029040873050689697,-0.006980955600738525,0.04397982358932495,1.3539711911350658,0.05779044967865269,-0.045639963761032326,0.012425572611391544,-0.9765853881835938,-0.21477141976356506,-0.03904689475893974,0.0017598583362996578,0.08823338150978088,,,,,,,,
676,Accelerometer,,,,105.01570129394531,16.7142391204834,,,,,,0.01617431640625,-0.99053955078125,-0.1859130859375,-0.02610989660024643,0.0010524812387302518,0.08523127436637878,-66.61985778808594,-108.29341125488281,-315.41180419921875,-0.0029040873050689697,-0.006980955600738525,0.04397982358932495,1.3539711911350658,0.05779044967865269,-0.045639963761032326,0.012425572611391544,-0.9765853881835938,-0.21477141976356506,-0.03904689475893974,0.0017598583362996578,0.08823338150978088,,,,,,,,
700,Magnetometer,,,,105.01570129394531,16.7142391204834,,,,,,0.01617431640625,-0.99053955078125,-0.1859130859375,-0.02610989660024643,0.0010524812387302518,0.08523127436637878,-67.63172912597656,-108.40385437011719,-315.679443359375,-0.0029040873050689697,-0.006980955600738525,0.04397982358932495,1.3539711911350658,0.05779044967865269,-0.045639963761032326,0.012425572611391544,-0.9765853881835938,-0.21477141976356506,-0.03904689475893974,0.0017598583362996578,0.08823338150978088,,,,,,,,
762,COMPASS,,,,103.9798812866211,16.708385467529297,,,,,,0.01617431640625,-0.99053955078125,-0.1859130859375,-0.02610989660024643,0.0010524812387302518,0.08523127436637878,-67.63172912597656,-108.40385437011719,-315.679443359375,-0.0029040873050689697,-0.006980955600738525,0.04397982358932495,1.3539711911350658,0.05779044967865269,-0.045639963761032326,0.012425572611391544,-0.9765853881835938,-0.21477141976356506,-0.03904689475893974,0.0017598583362996578,0.08823338150978088,,,,,,,,
925,Gyrometer,,,,103.9798812866211,16.708385467529297,,,,,,0.01617431640625,-0.99053955078125,-0.1859130859375,-0.07501112669706345,0.053466420620679855,-0.0057564228773117065,-67.63172912597656,-108.40385437011719,-315.679443359375,-0.0029040873050689697,-0.006980955600738525,0.04397982358932495,1.3539711911350658,0.05779044967865269,-0.045639963761032326,0.012425572611391544,-0.9765853881835938,-0.21477141976356506,-0.03904689475893974,0.0017598583362996578,0.08823338150978088,,,,,,,,
950,Device Motion,,,,103.9798812866211,16.708385467529297,,,,,,0.01617431640625,-0.99053955078125,-0.1859130859375,-0.07501112669706345,0.053466420620679855,-0.0057564228773117065,-67.63172912597656,-108.40385437011719,-315.679443359375,0.013593949377536774,-0.026410281658172607,0.036466315388679504,1.3485532080172913,0.024862309450794103,0.001876851985516524,0.005479537416249514,-0.9754054546356201,-0.22034993767738342,-0.07368852943181992,0.04460945725440979,-0.010495679453015327,,,,,,,,
977,Accelerometer,,,,103.9798812866211,16.708385467529297,,,,,,0.0349273681640625,-0.988616943359375,-0.170989990234375,-0.07501112669706345,0.053466420620679855,-0.0057564228773117065,-67.63172912597656,-108.40385437011719,-315.679443359375,0.013593949377536774,-0.026410281658172607,0.036466315388679504,1.3485532080172913,0.024862309450794103,0.001876851985516524,0.005479537416249514,-0.9754054546356201,-0.22034993767738342,-0.07368852943181992,0.04460945725440979,-0.010495679453015327,,,,,,,,
1001,Magnetometer,,,,103.9798812866211,16.708385467529297,,,,,,0.0349273681640625,-0.988616943359375,-0.170989990234375,-0.07501112669706345,0.053466420620679855,-0.0057564228773117065,-67.91256713867188,-108.86190795898438,-317.05419921875,0.013593949377536774,-0.026410281658172607,0.036466315388679504,1.3485532080172913,0.024862309450794103,0.001876851985516524,0.005479537416249514,-0.9754054546356201,-0.22034993767738342,-0.07368852943181992,0.04460945725440979,-0.010495679453015327,,,,,,,,
1079,Altimeter,,,,103.9798812866211,16.708385467529297,0,98.22060394287109,,,,0.0349273681640625,-0.988616943359375,-0.170989990234375,-0.07501112669706345,0.053466420620679855,-0.0057564228773117065,-67.91256713867188,-108.86190795898438,-317.05419921875,0.013593949377536774,-0.026410281658172607,0.036466315388679504,1.3485532080172913,0.024862309450794103,0.001876851985516524,0.005479537416249514,-0.9754054546356201,-0.22034993767738342,-0.07368852943181992,0.04460945725440979,-0.010495679453015327,,,,,,,,
1226,Gyrometer,,,,103.9798812866211,16.708385467529297,0,98.22060394287109,,,,0.0349273681640625,-0.988616943359375,-0.170989990234375,0.005564142484217882,-0.10339216887950897,0.000904409505892545,-67.91256713867188,-108.86190795898438,-317.05419921875,0.013593949377536774,-0.026410281658172607,0.036466315388679504,1.3485532080172913,0.024862309450794103,0.001876851985516524,0.005479537416249514,-0.9754054546356201,-0.22034993767738342,-0.07368852943181992,0.04460945725440979,-0.010495679453015327,,,,,,,,
1251,Device Motion,,,,103.9798812866211,16.708385467529297,0,98.22060394287109,,,,0.0349273681640625,-0.988616943359375,-0.170989990234375,0.005564142484217882,-0.10339216887950897,0.000904409505892545,-67.91256713867188,-108.86190795898438,-317.05419921875,0.025098003447055817,-0.003532886505126953,0.06556019186973572,1.3493360073133998,0.048171828789935534,-0.03651332568632391,0.010577047243714333,-0.975577712059021,-0.21939927339553833,0.002576509490609169,-0.10309328883886337,0.0003931084065698087,,,,,,,,
1277,Magnetometer,,,,103.9798812866211,16.708385467529297,0,98.22060394287109,,,,0.0349273681640625,-0.988616943359375,-0.170989990234375,0.005564142484217882,-0.10339216887950897,0.000904409505892545,-68.14869689941406,-109.92854309082031,-316.82794189453125,0.025098003447055817,-0.003532886505126953,0.06556019186973572,1.3493360073133998,0.048171828789935534,-0.03651332568632391,0.010577047243714333,-0.975577712059021,-0.21939927339553833,0.002576509490609169,-0.10309328883886337,0.0003931084065698087,,,,,,,,
1303,COMPASS,,,,105.10563659667969,16.70509147644043,0,98.22060394287109,,,,0.0349273681640625,-0.988616943359375,-0.170989990234375,0.005564142484217882,-0.10339216887950897,0.000904409505892545,-68.14869689941406,-109.92854309082031,-316.82794189453125,0.025098003447055817,-0.003532886505126953,0.06556019186973572,1.3493360073133998,0.048171828789935534,-0.03651332568632391,0.010577047243714333,-0.975577712059021,-0.21939927339553833,0.002576509490609169,-0.10309328883886337,0.0003931084065698087,,,,,,,,
1328,Accelerometer,,,,105.10563659667969,16.70509147644043,0,98.22060394287109,,,,0.039398193359375,-0.9967803955078125,-0.178192138671875,0.005564142484217882,-0.10339216887950897,0.000904409505892545,-68.14869689941406,-109.92854309082031,-316.82794189453125,0.025098003447055817,-0.003532886505126953,0.06556019186973572,1.3493360073133998,0.048171828789935534,-0.03651332568632391,0.010577047243714333,-0.975577712059021,-0.21939927339553833,0.002576509490609169,-0.10309328883886337,0.0003931084065698087,,,,,,,,
1419,COMPASS,,,,106.1480484008789,16.704593658447266,0,98.22060394287109,,,,0.039398193359375,-0.9967803955078125,-0.178192138671875,0.005564142484217882,-0.10339216887950897,0.000904409505892545,-68.14869689941406,-109.92854309082031,-316.82794189453125,0.025098003447055817,-0.003532886505126953,0.06556019186973572,1.3493360073133998,0.048171828789935534,-0.03651332568632391,0.010577047243714333,-0.975577712059021,-0.21939927339553833,0.002576509490609169,-0.10309328883886337,0.0003931084065698087,,,,,,,,
